This run aims to check if discrepancy is less than 0.0065
each row contains covering data for one orbit at phi, i.e. z = sin(phi), with the range of indices of directions corresponding to this orbit and the expected confidence radius at it. dtheta shows the amount that directions vary horizontally at this orbit.
 fd = first direction, ld = last direction, #d = number of directions 

number,	phi,                	expected radius,    	dtheta,             	covered phi,        	fd,    	ld,    	#d,    	

1,     	1.557531071167,     	0.003955727793,     	0.299940469481,     	1.554250620092,     	0,     	11,    	12,    	
2,     	1.546280666474,     	0.008787885248,     	0.362930247508,     	1.539044475209,     	12,    	21,    	10,    	
3,     	1.532225324676,     	0.007773107331,     	0.203873059811,     	1.525607116119,     	22,    	38,    	17,    	
4,     	1.518691440745,     	0.007897117156,     	0.151776170605,     	1.512001995108,     	39,    	60,    	22,    	
5,     	1.505183969045,     	0.007759798913,     	0.121531414079,     	1.498543069542,     	61,    	88,    	28,    	
6,     	1.491926481878,     	0.00756043845,      	0.09599599358,      	1.485438288997,     	89,    	121,   	33,    	
7,     	1.478680993771,     	0.007813924456,     	0.086477631968,     	1.471987439455,     	122,   	159,   	38,    	
8,     	1.465428258515,     	0.007618469392,     	0.073297136759,     	1.458805454749,     	160,   	202,   	43,    	
9,     	1.452253951717,     	0.007713978037,     	0.070442139389,     	1.445548459949,     	203,   	250,   	48,    	
10,    	1.438839237901,     	0.007686440274,     	0.060114755481,     	1.43214275033,      	251,   	303,   	53,    	
11,    	1.425541822422,     	0.007654439855,     	0.055660061964,     	1.418834846623,     	304,   	361,   	58,    	
12,    	1.412220156413,     	0.007914421024,     	0.053047397206,     	1.405411200425,     	362,   	424,   	63,    	
13,    	1.399078475642,     	0.007507424852,     	0.044986643204,     	1.392563990724,     	425,   	493,   	69,    	
14,    	1.385953942678,     	0.007671949617,     	0.045966984123,     	1.379287299984,     	494,   	566,   	73,    	
15,    	1.372649179222,     	0.007716089656,     	0.042386207391,     	1.365902378932,     	567,   	644,   	78,    	
