number	direction_ind	# of covercap	
0	34	2	
1	58	2	
2	59	2	
3	62	2	
4	64	2	
5	70	2	
6	136	2	
7	137	2	
8	140	2	
9	155	2	
10	169	2	
11	170	2	
12	188	2	
13	191	2	
14	193	2	
15	200	2	
16	212	2	
17	231	2	
18	238	2	
19	242	2	
20	295	2	
21	320	2	
22	331	2	
23	333	2	
24	335	2	
25	356	2	
26	373	2	
27	384	2	
28	386	2	
29	409	2	
30	414	2	
31	416	2	
32	421	2	
33	423	2	
34	424	2	
35	450	2	
36	458	2	
37	466	2	
38	468	2	
39	473	2	
40	477	2	
41	478	2	
42	479	2	
43	480	2	
44	481	2	
45	482	2	
46	490	2	
47	546	3	
48	547	2	
49	548	2	
50	549	2	
51	553	2	
52	579	2	
53	582	2	
54	583	2	
55	588	2	
56	596	2	
57	606	2	
58	608	2	
59	615	2	
60	617	2	
61	698	2	
62	806	2	
63	809	2	
64	824	2	
65	827	2	
66	872	2	
67	893	2	
68	905	2	
69	923	2	
70	937	2	
71	944	2	
72	955	2	
73	960	2	
74	969	2	
75	980	2	
76	985	2	
77	989	2	
78	995	2	
79	1000	2	
80	1010	2	
81	1011	2	
82	1036	2	
83	1048	2	
84	1049	2	
85	1055	2	
86	1074	2	
87	1085	2	
88	1097	2	
89	1145	2	
90	1150	2	
91	1167	2	
92	1195	2	
93	1263	2	
94	1267	2	
95	1272	2	
96	1274	2	
97	1276	2	
98	1283	2	
99	1287	2	
100	1291	2	
101	1341	2	
102	1382	2	
103	1385	2	
104	1386	2	
105	1387	2	
106	1389	2	
107	1392	2	
108	1409	3	
109	1411	2	
110	1413	2	
111	1415	2	
112	1455	2	
113	1459	2	
114	1496	2	
115	1499	2	
116	1501	2	
117	1502	2	
118	1536	2	
119	1539	2	
120	1541	2	
121	1542	3	
122	1543	2	
123	1553	2	
124	1586	2	
125	1614	2	
126	1622	2	
127	1625	3	
128	1626	2	
129	1627	2	
130	1628	2	
131	1631	2	
132	1676	2	
133	1677	3	
134	1681	2	
135	1688	2	
136	1752	2	
137	1753	2	
138	1754	2	
139	1755	2	
140	1805	2	
141	1806	2	
142	1807	2	
143	1843	2	
144	1852	2	
145	1873	2	
146	1875	2	
147	1876	2	
148	1877	3	
149	1881	2	
150	1930	2	
151	1934	2	
152	1938	2	
153	1939	2	
154	1940	3	
155	1951	2	
156	2010	2	
157	2011	2	
158	2012	2	
159	2013	2	
160	2078	2	
161	2079	2	
162	2145	2	
163	2146	2	
164	2148	2	
165	2149	2	
166	2216	2	
167	2218	2	
168	2219	2	
169	2362	2	
170	2424	2	
171	2431	2	
172	2432	2	
173	2443	2	
174	2503	2	
175	2507	2	
176	2570	2	
177	2572	2	
178	2573	2	
179	2579	2	
180	2650	2	
181	2653	2	
182	2654	2	
183	2656	2	
184	2657	2	
185	2685	2	
186	2697	2	
187	2707	2	
188	2716	2	
189	2717	2	
190	2718	2	
191	2719	2	
192	2722	2	
193	2768	2	
194	2800	2	
195	2802	2	
196	2803	2	
197	2804	2	
198	2805	2	
199	2812	2	
200	2814	2	
201	2815	2	
202	2824	2	
203	2830	2	
204	2863	2	
205	2951	2	
206	2992	2	
207	3011	2	
208	3017	2	
209	3106	2	
210	3150	2	
211	3152	2	
212	3159	2	
213	3163	2	
214	3164	2	
215	3168	2	
216	3187	2	
217	3189	2	
218	3209	2	
219	3212	2	
220	3220	2	
221	3224	2	
222	3255	2	
223	3260	2	
224	3264	2	
225	3272	2	
226	3274	2	
227	3276	2	
228	3318	2	
229	3319	2	
230	3638	2	
231	3681	2	
232	3717	2	
233	3720	2	
234	3826	2	
235	3843	2	
236	3863	2	
237	3873	2	
