Point's Coordinates for twisted_polar_coordinates_61

num,   	x,,                 	y,,                 	z,,                 	theta,,             	phi,,               	norm,               	

1,     	0.05146783175,      	0.001060418617,     	-0.998674089885,    	0.020600607565,     	-1.519294807884,    	1.0,                	
2,     	0.014895916639,     	0.049276504139,     	-0.998674089885,    	1.277237669,        	-1.519294807884,    	1.0,                	
3,     	-0.042261648974,    	0.029394135788,     	-0.998674089885,    	2.533874730436,     	-1.519294807884,    	1.0,                	
4,     	-0.041015052125,    	-0.031109929152,    	-0.998674089885,    	3.790511791872,     	-1.519294807884,    	1.0,                	
5,     	0.01691295271,      	-0.048621129392,    	-0.998674089885,    	5.047148853308,     	-1.519294807884,    	1.0,                	
6,     	0.102802966387,     	0.001925501087,     	-0.994699875615,    	0.018727825059,     	-1.467793288972,    	1.0,                	
7,     	0.085442354177,     	0.057199314376,     	-0.994699875615,    	0.589926489348,     	-1.467793288972,    	1.0,                	
8,     	0.040954398223,     	0.094312749502,     	-0.994699875615,    	1.161125153637,     	-1.467793288972,    	1.0,                	
9,     	-0.016536289797,    	0.101482553043,     	-0.994699875615,    	1.732323817926,     	-1.467793288972,    	1.0,                	
10,    	-0.068776822646,    	0.076432363034,     	-0.994699875615,    	2.303522482215,     	-1.467793288972,    	1.0,                	
11,    	-0.099181200259,    	0.027115437808,     	-0.994699875615,    	2.874721146504,     	-1.467793288972,    	1.0,                	
12,    	-0.09809624757,     	-0.030810447334,    	-0.994699875615,    	3.445919810793,     	-1.467793288972,    	1.0,                	
13,    	-0.065866429393,    	-0.078954233144,    	-0.994699875615,    	4.017118475082,     	-1.467793288972,    	1.0,                	
14,    	-0.012724485274,    	-0.102030607794,    	-0.994699875615,    	4.588317139371,     	-1.467793288972,    	1.0,                	
15,    	0.044457393014,     	-0.092712985384,    	-0.994699875615,    	5.15951580366,      	-1.467793288972,    	1.0,                	
16,    	0.08752436314,      	-0.053959645193,    	-0.994699875615,    	5.730714467949,     	-1.467793288972,    	1.0,                	
17,    	0.153861877415,     	0.002971914658,     	-0.988087896091,    	0.019313069592,     	-1.416291770061,    	1.0,                	
18,    	0.141012536875,     	0.061626082484,     	-0.988087896091,    	0.41201215129,      	-1.416291770061,    	1.0,                	
19,    	0.106695315878,     	0.110898237894,     	-0.988087896091,    	0.804711232989,     	-1.416291770061,    	1.0,                	
20,    	0.056134700234,     	0.143287141879,     	-0.988087896091,    	1.197410314688,     	-1.416291770061,    	1.0,                	
21,    	-0.002971914658,    	0.153861877415,     	-0.988087896091,    	1.590109396387,     	-1.416291770061,    	1.0,                	
22,    	-0.061626082484,    	0.141012536875,     	-0.988087896091,    	1.982808478085,     	-1.416291770061,    	1.0,                	
23,    	-0.110898237894,    	0.106695315878,     	-0.988087896091,    	2.375507559784,     	-1.416291770061,    	1.0,                	
24,    	-0.143287141879,    	0.056134700234,     	-0.988087896091,    	2.768206641483,     	-1.416291770061,    	1.0,                	
25,    	-0.153861877415,    	-0.002971914658,    	-0.988087896091,    	3.160905723182,     	-1.416291770061,    	1.0,                	
26,    	-0.141012536875,    	-0.061626082484,    	-0.988087896091,    	3.55360480488,      	-1.416291770061,    	1.0,                	
27,    	-0.106695315878,    	-0.110898237894,    	-0.988087896091,    	3.946303886579,     	-1.416291770061,    	1.0,                	
28,    	-0.056134700234,    	-0.143287141879,    	-0.988087896091,    	4.339002968278,     	-1.416291770061,    	1.0,                	
29,    	0.002971914658,     	-0.153861877415,    	-0.988087896091,    	4.731702049976,     	-1.416291770061,    	1.0,                	
30,    	0.061626082484,     	-0.141012536875,    	-0.988087896091,    	5.124401131675,     	-1.416291770061,    	1.0,                	
31,    	0.110898237894,     	-0.106695315878,    	-0.988087896091,    	5.517100213374,     	-1.416291770061,    	1.0,                	
32,    	0.143287141879,     	-0.056134700234,    	-0.988087896091,    	5.909799295073,     	-1.416291770061,    	1.0,                	
33,    	0.204516195755,     	0.003830591383,     	-0.978855685095,    	0.018727825059,     	-1.36479025115,     	1.0,                	
34,    	0.195152650513,     	0.061294296262,     	-0.978855685095,    	0.304327157203,     	-1.36479025115,     	1.0,                	
35,    	0.169978998144,     	0.113792301789,     	-0.978855685095,    	0.589926489348,     	-1.36479025115,     	1.0,                	
36,    	0.131034658249,     	0.157071531775,     	-0.978855685095,    	0.875525821492,     	-1.36479025115,     	1.0,                	
37,    	0.081474669636,     	0.187625760396,     	-0.978855685095,    	1.161125153637,     	-1.36479025115,     	1.0,                	
38,    	0.025314087838,     	0.202979665763,     	-0.978855685095,    	1.446724485781,     	-1.36479025115,     	1.0,                	
39,    	-0.032897290809,    	0.201889365777,     	-0.978855685095,    	1.732323817926,     	-1.36479025115,     	1.0,                	
