This run aims to check if discrepancy is less than 0.0110
number,	x,                  	y,                  	z,                  	theta,              	phi,                	norm,               	discrepancy,        	conf. r,            	covered radius,     	covering type,      	

0,     	0.022471225766,     	0.0,                	0.999747490126,     	0.0,                	1.548323209436,     	1.0,                	0.002660811042,     	0.006530957028,     	0.006530957028,     	Normal,             	
1,     	0.02152215872,      	0.006461630711,     	0.999747490126,     	0.291669196745,     	1.548323209436,     	1.0,                	0.002652269388,     	0.00679490486,      	0.00679490486,      	Normal,             	
2,     	0.018606794619,     	0.012599332578,     	0.999747490126,     	0.595215701813,     	1.548323209436,     	1.0,                	0.002664970846,     	0.006675489018,     	0.006675489018,     	Normal,             	
3,     	0.014084429837,     	0.017509563775,     	0.999747490126,     	0.893387339011,     	1.548323209436,     	1.0,                	0.002687703253,     	0.006524331807,     	0.006528927768,     	cover cap,          	
4,     	0.008456579228,     	0.020819276048,     	0.999747490126,     	1.184965262384,     	1.548323209436,     	1.0,                	0.002681218046,     	0.006700252928,     	0.006700252928,     	Normal,             	
5,     	0.001942345214,     	0.02238712314,      	0.999747490126,     	1.484251335433,     	1.548323209436,     	1.0,                	0.00262173157,      	0.006600747456,     	0.006600747456,     	Normal,             	
6,     	-0.004646181898,    	0.021985653986,     	0.999747490126,     	1.779059985542,     	1.548323209436,     	1.0,                	0.002627936469,     	0.006698201113,     	0.006698201113,     	Normal,             	
7,     	-0.010920041005,    	0.019639467708,     	0.999747490126,     	2.078253718385,     	1.548323209436,     	1.0,                	0.002666445916,     	0.00670860236,      	0.00670860236,      	Normal,             	
8,     	-0.016230918858,    	0.01554069691,      	0.999747490126,     	2.377915557179,     	1.548323209436,     	1.0,                	0.002647883557,     	0.00659375673,      	0.00659375673,      	Normal,             	
9,     	-0.020042940645,    	0.010160537274,     	0.999747490126,     	2.672409703572,     	1.548323209436,     	1.0,                	0.002664226548,     	0.006646975407,     	0.006646975407,     	Normal,             	
10,    	-0.022138516903,    	0.003852539001,     	0.999747490126,     	2.969298274797,     	1.548323209436,     	1.0,                	0.002622264442,     	0.006690466541,     	0.006690466541,     	Normal,             	
11,    	-0.022291524925,    	-0.002836177698,    	0.999747490126,     	3.268143925582,     	1.548323209436,     	1.0,                	0.002679140943,     	0.006525965557,     	0.006528927768,     	cover cap,          	
12,    	0.041391282621,     	0.0,                	0.999143013649,     	0.0,                	1.529393216198,     	1.0,                	0.001291926122,     	0.014992166057,     	0.014992166057,     	Normal,             	
